"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"BOM";"BUILT_BY";"COPYRIGHT";"DATASHEET";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"MANUFACTURER_PART_NUMBER";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";"PURCHASE-URL";"SOURCELIBRARY";"SUPPLIER";"VENDOR";
"B1";"cr1220";"BATTERYCR1220_2";"CR1220-2";"CR1220 SMT - Digikey: 3001K-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C4";"22uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C5";"200pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C6";"10uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C7";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C8";"";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D1";"1N4148";"DIODESOD-323";"SOD-323";"Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D2";"RED";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D4";"B340A-13-F";"B340A-13-F";"DIOM5226X240N";"Diode, Rectifier, 3a, 40v, Do-214ac, Full Reel";"";"";"";"";"";" Diode Schottky 40V 3A Surface Mount SMA ";"B340A-FDICT-ND";"";"Diodes Inc.";"B340A-13-F";"";"";"";"DO-214 Diodes Inc.";"";"https://pricing.snapeda.com/search/part/B340A-13-F/?ref=eda";"";"";"";
"FID1";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"Fiducial Alignment Points";"";"EXCLUDE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC2";"DS3231/SO";"DS3231/SO";"SO16W";"";"Unavailable";"";"";"";"";" Real Time Clock (RTC) IC Clock/Calendar I²C, 2-Wire Serial 16-SOIC (0.295, 7.50mm Width) ";"";"";"Maxim Integrated";"DS3231";"";"";"";"SOIC-16 Maxim Integrated";"None";"";"";"";"";
"JP2";"";"HEADER-1X16ROUND";"1X16_ROUND";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP3";"";"PINHD-1X12-CB";"1X12-CB";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP4";"";"HEADER-1X1ROUND";"1X01_ROUND";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP5";"";"PINHD-1X12-CB";"1X12-CB";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP6";"";"HEADER-1X1ROUND";"1X01_ROUND";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP7";"";"PINHD-1X18";"1X18";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP8";"";"PINHD-1X12-CB";"1X12-CB";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L1";"15uH";"WE-PD-744771115_1260/1245/1280/1210";"WE-PD_1260/1245/1280/1210";"SMD-Shielded Power Inductors WE-PD";"";"";"";"";"";"";"";"";"";"";"744771115";"1635908";"08P2786";"1260";"";"";"";"Wuerth Elektronik";"";
"Q1";"MMBT2222";"TRANSISTOR_NPN";"SOT23-R";"NPN Transistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R1";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R2";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R3";"100K";"RESISTOR_0603_NOOUT";"0603-NO";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R4";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R5";"1K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R6";"10K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R7";"10K";"RESISTOR0805_NOOUTLINE";"0805-NO";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R8";"40.2k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R9";"360k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R10";"63.96k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R15";"162k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SW1";"KMR2";"SWITCH_TACT_SMT4.6X2.8";"BTN_KMR2_4.6X2.8";"SMT Tact Switches";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"MP1584";"MP1584";"SOIC8E_MPS";"";"";"";"EMA_Cory";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"https://www.monolithicpower.com/en/documentview/productdocument/index/version/2/document_type/Datasheet/lang/en/sku/MP1584/document_id/204";"";"";"MP1584";"";"";"";"";"";"";"";"";"MPS_2020-01-27";"";"Monolithic Power Systems Inc";
"X1";"RELAY_NONLATCHING-EE2NUH";"RELAY_NONLATCHING-EE2NUH";"RELAY_EE2_NOLATCH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X3";"";"TERMBLOCK_1X3";"TERMBLOCK_1X3-3.5MM";"3.5mm Terminal block";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X4";"microsd";"MICROSD";"MICROSD";"MicroSD/Transflash Card Holder with SPI pinout";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
